Date,Adj Close,Close,High,Low,Open,Volume
2010-01-04,12051.83984375,16180.0,16180.0,16000.0,16060.0,11950800
2010-01-05,12245.4990234375,16440.0,16580.0,16300.0,16520.0,27925850
2010-01-06,12528.544921875,16820.0,16820.0,16520.0,16580.0,22948850
2010-01-07,12111.4287109375,16260.0,16820.0,16260.0,16820.0,22107950
2010-01-08,12230.6025390625,16420.0,16420.0,16120.0,16400.0,14777550
2010-01-11,11873.0693359375,15940.0,16460.0,15940.0,16420.0,19896100
2010-01-12,12051.83984375,16180.0,16180.0,15900.0,15940.0,19218050
2010-01-13,11873.0693359375,15940.0,16120.0,15940.0,16100.0,13375300
2010-01-14,12319.9853515625,16540.0,16620.0,16000.0,16120.0,26551550
2010-01-15,12543.447265625,16840.0,16860.0,16580.0,16640.0,19905600
2010-01-18,12558.3427734375,16860.0,16920.0,16560.0,16800.0,13060400
2010-01-19,12260.39453125,16460.0,17000.0,16440.0,17000.0,12041250
2010-01-20,12424.267578125,16680.0,16740.0,16460.0,16460.0,19200850
2010-01-21,12662.6240234375,17000.0,17000.0,16400.0,16400.0,16990100
2010-01-22,12290.1953125,16500.0,16900.0,16360.0,16800.0,23460500
2010-01-25,12543.447265625,16840.0,16960.0,16300.0,16320.0,20578400
2010-01-26,12141.22265625,16300.0,16920.0,16240.0,16920.0,18722300
2010-01-27,11917.7646484375,16000.0,16340.0,16000.0,16300.0,18516150
2010-01-28,12036.939453125,16160.0,16300.0,16060.0,16160.0,13795800
2010-01-29,11679.4033203125,15680.0,16020.0,15600.0,16000.0,22854100
2010-02-01,11575.1279296875,15540.0,15700.0,15300.0,15680.0,25037200
2010-02-02,11500.64453125,15440.0,15800.0,15400.0,15800.0,19677150
2010-02-03,11575.1279296875,15540.0,15700.0,15360.0,15640.0,16467700
2010-02-04,11560.2294921875,15520.0,15660.0,15440.0,15500.0,11971700
2010-02-05,11172.900390625,15000.0,15220.0,14940.0,15160.0,25705750
2010-02-08,11143.10546875,14960.0,15080.0,14820.0,14940.0,21891500
2010-02-09,11336.7724609375,15220.0,15220.0,14840.0,14960.0,16834200
2010-02-10,11247.388671875,15100.0,15280.0,15040.0,15260.0,13174200
2010-02-11,11366.564453125,15260.0,15300.0,15120.0,15140.0,13208300
2010-02-12,11172.900390625,15000.0,15340.0,14900.0,15340.0,22879300
2010-02-16,11262.28515625,15120.0,15180.0,14960.0,15000.0,7723550
2010-02-17,11604.919921875,15580.0,15580.0,15280.0,15440.0,13997150
2010-02-18,11545.33203125,15500.0,15620.0,15440.0,15580.0,7251900
2010-02-19,11321.875,15200.0,15540.0,15180.0,15380.0,11094000
2010-02-22,11515.537109375,15460.0,15560.0,15400.0,15440.0,11580550
2010-02-23,11426.1533203125,15340.0,15480.0,15120.0,15480.0,12568850
2010-02-24,11202.697265625,15040.0,15220.0,15000.0,15180.0,15052500
2010-02-25,10964.33984375,14720.0,15160.0,14680.0,15080.0,19273900
2010-02-26,11083.51953125,14880.0,14960.0,14660.0,14800.0,15576350
2010-03-02,11470.845703125,15400.0,15480.0,15120.0,15220.0,23494700
2010-03-03,11485.7431640625,15420.0,15460.0,15260.0,15420.0,9713550
2010-03-04,11336.7724609375,15220.0,15440.0,15120.0,15420.0,10205050
2010-03-05,11545.33203125,15500.0,15500.0,15260.0,15260.0,11754700
2010-03-08,11709.205078125,15720.0,15840.0,15700.0,15800.0,19563300
2010-03-09,11709.205078125,15720.0,15740.0,15540.0,15740.0,12211750
2010-03-10,11679.4033203125,15680.0,15740.0,15560.0,15720.0,11367600
2010-03-11,11590.0263671875,15560.0,15880.0,15560.0,15800.0,19631000
2010-03-12,11590.0263671875,15560.0,15680.0,15420.0,15560.0,9997950
2010-03-15,11441.052734375,15360.0,15660.0,15280.0,15640.0,11156550
2010-03-16,11396.3583984375,15300.0,15400.0,15160.0,15360.0,16548150
2010-03-17,11887.96484375,15960.0,15960.0,15420.0,15440.0,21840650
2010-03-18,11873.0693359375,15940.0,16140.0,15900.0,15900.0,15393500
2010-03-19,11977.353515625,16080.0,16140.0,15960.0,16020.0,10711200
2010-03-22,11932.66015625,16020.0,16080.0,15840.0,16060.0,9191800
2010-03-23,12051.83984375,16180.0,16300.0,16100.0,16140.0,9923300
2010-03-24,12200.8095703125,16380.0,16500.0,16260.0,16300.0,15926950
2010-03-25,12200.8095703125,16380.0,16440.0,16180.0,16300.0,9481650
2010-03-26,12215.708984375,16400.0,16500.0,16240.0,16460.0,10481650
2010-03-29,12185.91015625,16360.0,16500.0,16200.0,16200.0,7756350
2010-03-30,12126.32421875,16280.0,16580.0,16240.0,16540.0,12042400
2010-03-31,12185.91015625,16360.0,16680.0,16260.0,16280.0,21699800
2010-04-01,12588.1357421875,16900.0,16900.0,16480.0,16520.0,28068050
2010-04-02,12766.9033203125,17140.0,17200.0,16820.0,16920.0,20907050
2010-04-05,12960.5703125,17400.0,17400.0,17140.0,17220.0,15201700
2010-04-06,12945.671875,17380.0,17500.0,17220.0,17480.0,16494250
